1Y - 2021,S&P 500,Russell 2000,EM Equity,DM Equity,Commodity,High Yield,Fixed Income,REITs,Cash,Gold,Bitcoin,Ethereum
S&P 500,1,,,,,,,,,,,
Russell 2000,0.432798204,1,,,,,,,,,,
EM Equity,-0.74219502,0.047838621,1,,,,,,,,,
DM Equity,0.759308062,0.559808687,-0.296851152,1,,,,,,,,
Commodity,0.895106421,0.492935406,-0.653315846,0.745472463,1,,,,,,,
High Yield,0.024181457,0.125903283,0.320363804,0.408497768,0.048210415,1,,,,,,
Fixed Income,-0.326038399,-0.467850254,0.297496973,-0.206539138,-0.375557104,0.493159346,1,,,,,
REITs,0.975578321,0.428551333,-0.688916798,0.804546684,0.887853338,0.092815964,-0.321433789,1,,,,
Cash,-0.951368795,-0.333318591,0.799360032,-0.671453934,-0.900207655,0.06111763,0.329995441,-0.937264181,1,,,
Gold,-0.039181969,-0.089408827,0.237459317,0.153043451,-0.02143947,0.173230992,0.379785569,-0.02115596,0.068187726,1,,
Bitcoin,0.285324565,0.41878116,-0.334337998,0.074864283,0.30886681,-0.443272031,-0.621482769,0.174910391,-0.250706952,-0.426819797,1,
Ethereum,0.868781539,0.415378497,-0.715318821,0.60825408,0.84945982,-0.219245461,-0.462239725,0.809307656,-0.840585472,-0.016122451,0.551548672,1
